[12:41:55.998] Namespace(root_path='../data/ACDC', volume_path='../data/ACDC/test', n_skip=1, z_spacing=10, dataset='ACDC', list_dir='./lists/lists_ACDC', num_classes=4, output_dir='./model_out_acdc', max_iterations=30000, max_epochs=150, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.0001, img_size=224, seed=1234, cfg='configs/swin_tiny_patch4_window7_224_lite.yaml', opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False)
[12:41:56.005] 55 iterations per epoch. 8250 max iterations 
[12:42:00.184] iteration 1 : loss : 1.250152, lr_: 0.000100
[12:42:00.394] iteration 2 : loss : 1.108703, lr_: 0.000100
[12:42:00.604] iteration 3 : loss : 0.998395, lr_: 0.000100
[12:42:00.813] iteration 4 : loss : 0.903202, lr_: 0.000100
[12:42:01.024] iteration 5 : loss : 0.819828, lr_: 0.000100
[12:42:01.234] iteration 6 : loss : 0.755814, lr_: 0.000100
[12:42:01.447] iteration 7 : loss : 0.691382, lr_: 0.000100
[12:42:01.660] iteration 8 : loss : 0.636944, lr_: 0.000100
[12:42:01.869] iteration 9 : loss : 0.605808, lr_: 0.000100
[12:42:02.081] iteration 10 : loss : 0.572779, lr_: 0.000100
[12:42:02.293] iteration 11 : loss : 0.547556, lr_: 0.000100
[12:42:02.503] iteration 12 : loss : 0.525466, lr_: 0.000100
[12:42:02.715] iteration 13 : loss : 0.504973, lr_: 0.000100
[12:42:02.927] iteration 14 : loss : 0.501482, lr_: 0.000100
[12:42:03.139] iteration 15 : loss : 0.494079, lr_: 0.000100
[12:42:03.351] iteration 16 : loss : 0.486257, lr_: 0.000100
[12:42:03.561] iteration 17 : loss : 0.462633, lr_: 0.000100
[12:42:03.773] iteration 18 : loss : 0.484323, lr_: 0.000100
[12:42:03.984] iteration 19 : loss : 0.463962, lr_: 0.000100
[12:42:04.196] iteration 20 : loss : 0.474400, lr_: 0.000100
[12:42:04.497] iteration 21 : loss : 0.485541, lr_: 0.000100
[12:42:04.706] iteration 22 : loss : 0.483266, lr_: 0.000100
[12:42:04.917] iteration 23 : loss : 0.478798, lr_: 0.000100
[12:42:05.127] iteration 24 : loss : 0.495576, lr_: 0.000100
[12:42:05.338] iteration 25 : loss : 0.469107, lr_: 0.000100
[12:42:05.550] iteration 26 : loss : 0.471390, lr_: 0.000100
[12:42:05.760] iteration 27 : loss : 0.486166, lr_: 0.000100
[12:42:05.970] iteration 28 : loss : 0.458853, lr_: 0.000100
[12:42:06.180] iteration 29 : loss : 0.466938, lr_: 0.000100
